%netflow_Facts(StartDate,StartHour,StartMin,StartSec,Dur,Proto,SrcAddr,Sport,Dir,DstAddr,Dport,State,sTos,dTos,TotPkts,TotBytes,SrcBytes,Label).
%------------------------------------------------------------------------------------------------------------------------------------------------------------------------
netflow_Facts('2011/08/10',09,46,53.047277,3550.182373,udp,"212.50.71.179",39678,"<->","147.32.84.229",13363,con,0,0,12,875,413,"flow=Background-UDP-Established").
netflow_Facts('2011/08/10',09,46,53.048843,0.000883,udp,"84.13.246.132",28431,  "<->","147.32.84.229",13363,con,0,0,2,135,75,"flow=Background-UDP-Established").
netflow_Facts('2011/08/10', 09,46,53.049895,0.000326,tcp,"217.163.21.35",80,  "<?>","147.32.86.194",2063,fa_a,0,0,2,120,60,"flow=Background").
netflow_Facts('2011/08/10', 09,46,53.053771,0.056966,tcp,"83.3.77.74",32882,  "<?>","147.32.85.5",21857,fa_fa,0,0,3,180,120,"flow=Background").
netflow_Facts('2011/08/10', 09,46,53.053937,3427.768066,udp,"74.89.223.204",21278,  "<->","147.32.84.229",13363,con,0,0,42,2856,1596,"flow=Background-UDP-Established").
netflow_Facts('2011/08/10', 09,46,53.056921,3086.547363,tcp,"66.169.184.207",49372,  "<?>","147.32.84.229",13363,pa_pa,0,0,591,45931,26480,"flow=Background").
netflow_Facts('2011/08/10', 09,46,53.058746,3589.631348,udp,"182.239.167.121",49649,  "<->","147.32.84.229",13363,con,0,0,12,1494,1122,"flow=Background-UDP-Established").
netflow_Facts('2011/08/10', 09,46,53.058760,20.360268,tcp,"147.32.3.93",443, "<?>","147.32.84.59",51790,fpa_frpa,0,0,133,81929,67597,"flow=Background-Established-cmpgw-CVUT").
netflow_Facts('2011/08/10', 09,46,53.062095,3118.470947,udp,"24.117.206.20",8697,  "<->","147.32.84.229",13363,con,0,0,13,4328,840,"flow=Background-UDP-Established").
netflow_Facts('2011/08/10', 09,46,53.068389,1065.003052,tcp,"94.208.78.74",50687,  "<?>","147.32.84.229",13363,fpa_rpa,0,0,156,14804,7699,"flow=Background").
netflow_Facts('2011/08/10', 09,46,53.074655,2.210671,udp,"79.129.201.26",56877,  "<->","147.32.84.229",13363,con,0,0,4,379,137,"flow=Background-UDP-Established").
netflow_Facts('2011/08/10', 09,46,53.075905,0.187434,tcp,"147.32.86.194",2065,   "->","217.163.21.35",80,fspa_fspa,0,0,11,3872,1147,"flow=Background-TCP-Established").
netflow_Facts('2011/08/10', 09,46,53.078297,3599.972412,tcp,"147.32.80.13",80,  "<?>","147.32.84.162",51769,pa_a,0,0,72157,61638544,60214264,"flow=From-Background-CVUT-Proxy").
netflow_Facts('2011/08/10', 09,46,53.082381,0.000307,tcp,"74.200.246.228",80,  "<?>","147.32.84.59",49382,fa_ra,0,0,3,180,60,"flow=Background-Established-cmpgw-CVUT").
netflow_Facts('2011/08/10', 09,46,53.087248,0.000258,tcp,"77.238.167.32",80,  "<?>","147.32.86.194",2060,fa_a,0,0,2,120,60,"flow=Background").
netflow_Facts('2011/08/10', 09,46,53.093292,37.925823,tcp,"94.124.104.196",80,  "<?>","147.32.84.59",49500,pa_fra,0,0,1921,2636496,2625276,"flow=Background-Established-cmpgw-CVUT").
netflow_Facts('2011/08/10', 09,46,53.098713,0.312088,tcp,"98.127.111.126",51534,  "<?>","147.32.84.229",13363,frpa_fpa,0,0,10,750,407,"flow=Background").
netflow_Facts('2011/08/10', 09,46,53.100496,2407.466797,udp,"123.1.72.4",16562,  "<->","147.32.84.229",13363,con,0,0,4,268,148,"flow=Background-UDP-Established").
netflow_Facts('2011/08/10', 09,46,53.104932,3495.295410,tcp,"147.32.84.229",443,  "<?>","212.217.56.83",58258,pa_pa,0,0,287,24672,10309,"flow=Background").
netflow_Facts('2011/08/10', 09,46,53.104948,3591.918945,tcp,"147.32.84.229",443,  "<?>","213.142.200.29",10004,pa_pa,0,0,4360,339588,125248,"flow=Background").
netflow_Facts('2011/08/10', 09,46,53.104954,3514.610352,tcp,"147.32.84.229",13363,  "<?>","93.45.94.195",44977,pa_pa,0,0,310,52117,9301,"flow=Background").
netflow_Facts('2011/08/10', 09,46,53.104959,3599.977539,tcp,"147.32.84.229",13363,  "<?>","83.78.136.90",52573,pa_pa,0,0,164,12065,5378,"flow=Background").
netflow_Facts('2011/08/10', 09,46,53.106431,507.347626,tcp,"147.32.80.13",80,  "<?>","147.32.85.112",10885,fpa_fa,0,0,162760,137136528,132816366,"flow=From-Background-CVUT-Proxy").
netflow_Facts('2011/08/10', 09,46,53.107352,0.001105,udp,"217.164.10.229",7797,  "<->","147.32.84.229",13363,con,0,0,2,582,77,"flow=Background-UDP-Established").
